year,country,dairy_produce,aquatic_produce,fruit_produce,meat_produce,vegetable_produce,all_trade,GDP,avg_GDP,vacc_rate,freight,inflation,Country Code,death_rate,FTA,Asia,Africa,North_America,South_America,Europe,Oceania
2018,Lebanon,3396003.901,209200.643,0.0,6601316.541,0.0,10206521.085,54901519155.5556,9225.84515486901,0.0,7.425492475574911,6.07698907889607,LBN,0.0,0,1,0,0,0,0,0
2018,Libya,18481646.485,0.0,0.0,0.0,0.0,18481646.485,76686029772.1483,11838.2958165147,0.0,38.59386686611818,13.1702038536721,LBY,0.0,0,0,1,0,0,0,0
2018,Libya,18481646.485,0.0,0.0,0.0,0.0,18481646.485,76686029772.1483,11838.2958165147,0.0,38.59386686611818,13.1702038536721,LBY,0.0,0,0,1,0,0,0,0
2018,Luxembourg,0.0,9147.981,0.0,0.0,0.0,9147.981,71000359760.4611,116786.511654677,0.0,5.465912713738081,1.5281952430738,LUX,0.0,0,0,0,0,0,1,0
2018,Luxembourg,0.0,9147.981,0.0,0.0,0.0,9147.981,71000359760.4611,116786.511654677,0.0,5.465912713738081,1.5281952430738,LUX,0.0,0,0,0,0,0,1,0
2018,Malaysia,392028928.015,4116352.994,18096315.684,76484303.027,4603260.197,495329159.91700006,358788845712.53,11073.9789704691,0.0,12.668209359520121,0.884709160571235,MYS,0.0,1,1,0,0,0,0,0
2018,Malaysia,392028928.015,4116352.994,18096315.684,76484303.027,4603260.197,495329159.91700006,358788845712.53,11073.9789704691,0.0,12.668209359520121,0.884709160571235,MYS,0.0,1,1,0,0,0,0,0
2018,Mali,3784057.892,0.0,0.0,0.0,0.0,3784057.892,17070867589.9055,856.356596550603,0.0,6.031289311171617,0.299546507387934,MLI,0.0,0,0,1,0,0,0,0
2018,Mali,3784057.892,0.0,0.0,0.0,0.0,3784057.892,17070867589.9055,856.356596550603,0.0,6.031289311171617,0.299546507387934,MLI,0.0,0,0,1,0,0,0,0
2018,Mauritius,46310318.227,3215143.844,991827.654,6322524.862,946197.925,57786012.511999995,14735695930.9727,11643.4605962124,0.0,12.949111412282782,3.2160538314457,MUS,0.0,0,0,1,0,0,0,0
2018,Mauritius,46310318.227,3215143.844,991827.654,6322524.862,946197.925,57786012.511999995,14735695930.9727,11643.4605962124,0.0,12.949111412282782,3.2160538314457,MUS,0.0,0,0,1,0,0,0,0
2018,Mongolia,4149766.476,0.0,124169.877,0.0,0.0,4273936.353,13178094720.4986,4165.02282101895,0.0,33.051750611835054,6.82424790145522,MNG,0.0,0,1,0,0,0,0,0
2018,Mongolia,4149766.476,0.0,124169.877,0.0,0.0,4273936.353,13178094720.4986,4165.02282101895,0.0,33.051750611835054,6.82424790145522,MNG,0.0,0,1,0,0,0,0,0
2018,Morocco,35381776.025,0.0,0.0,0.0,497098.034,35878874.059,127341147581.818,3492.67260742188,0.0,19.59381353386734,1.80391671141896,MAR,0.0,0,0,1,0,0,0,0
2018,Morocco,35381776.025,0.0,0.0,0.0,497098.034,35878874.059,127341147581.818,3492.67260742188,0.0,19.59381353386734,1.80391671141896,MAR,0.0,0,0,1,0,0,0,0
2018,Myanmar,29713159.252,130092.297,575254.995,93832.285,16338.452,30528677.281,67860515989.517,1288.50677762545,0.0,7.7333419677800705,6.87232865662935,MMR,0.0,0,1,0,0,0,0,0
2018,Myanmar,29713159.252,130092.297,575254.995,93832.285,16338.452,30528677.281,67860515989.517,1288.50677762545,0.0,7.7333419677800705,6.87232865662935,MMR,0.0,0,1,0,0,0,0,0
2018,New Caledonia,15832877.124,2016181.154,2843499.675,15686086.054,3039350.446,39417994.453,9896402283.68587,36495.1959423457,0.0,21.337823069035505,2.4503624385017,NCL,0.0,0,0,0,0,0,0,1
2018,New Caledonia,15832877.124,2016181.154,2843499.675,15686086.054,3039350.446,39417994.453,9896402283.68587,36495.1959423457,0.0,21.337823069035505,2.4503624385017,NCL,0.0,0,0,0,0,0,0,1
2018,Papua New Guinea,12093475.402,2947531.106,1203044.705,13188987.332,1956815.595,31389854.14,24109780708.0268,2584.32780208122,0.0,5.430084888678068,4.37448921453162,PNG,0.0,0,0,0,0,0,0,1
2018,Papua New Guinea,12093475.402,2947531.106,1203044.705,13188987.332,1956815.595,31389854.14,24109780708.0268,2584.32780208122,0.0,5.430084888678068,4.37448921453162,PNG,0.0,0,0,0,0,0,0,1
